tweet_id,tweet_text,tweet_classifications
654023230445871105,"@midnight #BetterDebateQuestions Would you rather have your legacy preserved with presidential library, or presidential water park?",ABSD
654022798071963648,"Finkle,Einhorn.Einhorn,Finkle! #BetterDebateQuestions @midnight http://t.co/FUWuQbUJuM",OBSV
654037492803350529,#BetterDebateQuestions @midnight Do they offer an early bird special for prostitution?,VLGR
654020960601796608,What is your contingency plan for the inevitable zombie apocalypse?#BetterDebateQuestions @midnight,ABSD
654007132745007104,Do you believe #FoxNews is more in the bag for Jeb or Marco? #BetterDebateQuestions @midnight,OBSV
653782633000775680,Can I get a what what? #BetterDebateQuestions @midnight,ABSD
654025577683361802,@midnight #BetterDebateQuestions Do you promise to 'commit to the bit'?,OBSV
654003789473673216,Can you quack like a duck? http://t.co/GfoMy2aXip @midnight #BetterDebateQuestions,ABSD
654007531249995777,"If H.W. is the father, and W. Is the son, what is Jeb? #BetterDebateQuestions @midnight",OBSV
654008238187282432,@midnight #BetterDebateQuestions What weapon would you use while fighting off a horde of walkers?,ABSD
654038201775071232,Would you rather have dick sized nipples or a nipple sized dick? #BetterDebateQuestions @midnight,VLGR
653796381425991680,"Instead of responding ""I'm not a scientist"" to questions about science, could you actually ask a scientist? #BetterDebateQuestions @midnight",OTHR
654027963441262592,@midnight #BetterDebateQuestions Joel Hodgson or Mike Nelson?,OBSV
654015072478588929,@midnight How many in the stink? #BetterDebateQuestions,VLGR
654008930889277440,What are your policies on back rubs? #BetterDebateQuestions @midnight http://t.co/3nDoPQS9eB,ABSD
654003098608889856,Hillary would you do Bernie Sanders? Bernie vice versa. #BetterDebateQuestions @midnight,OBSV
654005218393264129,how much respect does my cat lose for me when I cry-masturbate? @midnight #BetterDebateQuestions,ABSD_VLGR
654021247832096768,Who are those two dudes next to Hillary and Bernie? #BetterDebateQuestions @midnight,ISLT_OBSV
654032807811919872,Do I look fat in these jeans? #BetterDebateQuestions @midnight,ABSD_ISLT
654007674720227328,@elizacollins1 @politico but will he have all the #BetterDebateQuestions we created for them with @midnight ?,NHMR
654001352968900608,Knock knock #BetterDebateQuestions @midnight,ABSD
653783262691725314,Can you actually explain the ending to Lost? #BetterDebateQuestions @midnight,ABSD_OBSV
653817839271473152,"If a tree falls in the woods and Fox News isn't there to report on it, is it still Obama's fault? #BetterDebateQuestions @midnight",OBSV
654016299614490628,Who let the dogs out? #BetterDebateQuestions @midnight,ABSD_OBSV
654021999514128384,Fold or crumple? #BetterDebateQuestions @midnight,ABSD
654002362286116864,Will you tell us up front if you are going to get a blow job in the oval office? #BetterDebateQuestions #transparency @midnight,OBSV
654016268035448832,"@midnight Mr. Sanders, who are you wearing? #BetterDebateQuestions",IRNY
654004453096296448,#BetterDebateQuestions @midnight How many times a day do you hear the voice of god?,ABSD
653998973523468288,"@midnight Who is the better liar, the candidate to your left or right? #BetterDebateQuestions",ISLT
654000441525673985,@midnight After Hillary &amp; Bernie take the stage can the remaining candidates make sure to have a picture I.D. ready? #BetterDebateQuestions,ISLT_OBSV
654032680078589952,Does anybody remember laughter? #BetterDebateQuestions @midnight,OTHR
654020073716232192,"I heard gingers don't have a soul, is that true? #BetterDebateQuestions @midnight",ABSD_ISLT
654005325041823744,is keanu reeves immortal? @midnight #BetterDebateQuestions,ABSD_OBSV
654008913835204608,How many Democrats does it take to change a light bulb and can they write it off on their taxes? #BetterDebateQuestions @midnight,OTHR_OBSV
653994660239642624,If @JaredLeto wore a dress...would you? #BetterDebateQuestions @midnight,ABSD_OBSV
654027629293621248,"@midnight #BetterDebateQuestions Is your ideal voter someone who shares your beliefs, or someone who'd like to have a beer with you?",OBSV
654010531016216577,"In your opinion, who looks better in blue, Monica or the Blue Man Group? #BetterDebateQuestions @midnight",ISLT_OBSV
654017391165177856,#BetterDebateQuestions @midnight How will your blind narcissism be a strength regarding foreign policy?,ISLT
654017829482528768,"""Mr Trump, could you clarify who let the dogs out?"" #BetterDebateQuestions @midnight",OBSV
653785729009475585,Do you know why I pulled you over? #BetterDebateQuestions @midnight,OTHR
654000696530968580,"Marry, Boff, Kill: Trump, Bush, Fiorina #BetterDebateQuestions @midnight",ABSD_OBSV
654006213332496384,but I gotta kn-kn-kn-know wha-what's your fan-ta-ta-sy? @midnight #BetterDebateQuestions,OBSV
654014718244470789,"Politics aside, Do you dress to the left or right? #BetterDebateQuestions @midnight",IRNY_ABSD
654022326233759744,#betterdebatequestions Are these the droids you are looking for? @midnight,ABSD_OBSV
654021276919435264,"If you expect the unexpected, is it still unexpected? #BetterDebateQuestions @midnight",ABSD
654009454984339456,"During flu season, will reporters be allowed on Air Force One? #BetterDebateQuestions @midnight",OTHR
653815880317468672,What is your stance on entering a hash tag war? #BetterDebateQuestions @midnight,OTHR_OBSV
653996724495720448,"At my cousin Ruthie's wedding, the groom's brother was that guy Alakazam. You know who I'm talking about? #BetterDebateQuestions @midnight",ABSD
653999690241974273,megaloDON or heteroDONtosaruas...which Don besides Trump would you endorse? #BetterDebateQuestions @midnight,ISLT_WPLY_OBSV
654030614589386752,@midnight What non-political experiences do you bring to the table? #BetterDebateQuestions,OTHR
654022626088611840,Are blondes really more fun? #BetterDebateQuestions @midnight,ABSD
653995369240633344,Is snapchat in discussion for a legitimate addiction? #BetterDebateQuestions @midnight,OBSV
653994070830936064,What is your interpretation of the movie Inception? @midnight #BetterDebateQuestions,ABSD_OBSV
654037898841292800,"Charmander, squirtle or bulbasaur? #BetterDebateQuestions @midnight",ABSD_OBSV
653777816266387456,Do u even lift bro? #BetterDebateQuestions @midnight,ABSD
654005420793593856,"""Does this look infected to you?"" @midnight #BetterDebateQuestions",ABSD
654016419718258688,"Can you point to #Benghazi on a on a map, Mrs. Clinton? #BetterDebateQuestions @midnight",ISLT_OBSV
654030430790922241,How do you solve a problem like Maria? @midnight #BetterDebateQuestions,ABSD_OBSV
654030978029981696,do you still have the gently used bedpans for sale on craigslist? #BetterDebateQuestions @midnight,OBSV_ISLT
654001590362243072,Do you know the muffin man? #BetterDebateQuestions @midnight,ABSD
654006206332190721,George Bush! Great President or GREATEST President? #BetterDebateQuestions @midnight,OBSV
653995018483552257,Ready for Star Wars The Force Awakens? #BetterDebateQuestions @midnight,ABSD_OBSV
654017991466700800,"@midnight true or false: we don't give a shit about your stances, as long as you beat Trump. #BetterDebateQuestions",ISLT_OBSV
654017081516490752,Do you want fries with that? #BetterDebateQuestions @midnight,ABSD
654005086763544581,"@midnight If your mistress was having an abortion, where would you tell your wife the maid is ""vacationing?"" #BetterDebateQuestions",ISLT_OBSV
654007199325294592,What's the deal with airline food? #BetterDebateQuestions @midnight,ABSD
